source,target
SP_1220,SP_0305
SP_1220,SP_2023
SP_1220,SP_0317
SP_1220,SP_1185
SP_1220,SP_1186
SP_1220,SP_0476
SP_1220,SP_0478
SP_1220,SP_1173
SP_1220,SP_0877
SP_1220,SP_1618
SP_1220,SP_1617
SP_1220,SP_1619
SP_1220,SP_1684
SP_1884,SP_0446
SP_1884,SP_1163
SP_1884,SP_1164
SP_1884,SP_0445
SP_1885,SP_0446
SP_1885,SP_1163
SP_1885,SP_1164
SP_1885,SP_0445
SP_1884,SP_1014
SP_1885,SP_1014
SP_1884,SP_0351
SP_1884,SP_0355
SP_1884,SP_0352
SP_1884,SP_0353
SP_1885,SP_0351
SP_1885,SP_0355
SP_1885,SP_0352
SP_1885,SP_0353
SP_0251,SP_0446
SP_0251,SP_1163
SP_0251,SP_1164
SP_0251,SP_0445
SP_0245,SP_0446
SP_0245,SP_1163
SP_0245,SP_1164
SP_0245,SP_0445
SP_0459,SP_0446
SP_0459,SP_1163
SP_0459,SP_1164
SP_0459,SP_0445
SP_0251,SP_1014
SP_0245,SP_1014
SP_0459,SP_1014
SP_0251,SP_0351
SP_0251,SP_0355
SP_0251,SP_0352
SP_0251,SP_0353
SP_0245,SP_0351
SP_0245,SP_0355
SP_0245,SP_0352
SP_0245,SP_0353
SP_0459,SP_0351
SP_0459,SP_0355
SP_0459,SP_0352
SP_0459,SP_0353
SP_0250,SP_0446
SP_0250,SP_1163
SP_0250,SP_1164
SP_0250,SP_0445
SP_0308,SP_0446
SP_0308,SP_1163
SP_0308,SP_1164
SP_0308,SP_0445
SP_0474,SP_0446
SP_0474,SP_1163
SP_0474,SP_1164
SP_0474,SP_0445
SP_0310,SP_0446
SP_0310,SP_1163
SP_0310,SP_1164
SP_0310,SP_0445
SP_0249,SP_0446
SP_0249,SP_1163
SP_0249,SP_1164
SP_0249,SP_0445
SP_2024,SP_0446
SP_2024,SP_1163
SP_2024,SP_1164
SP_2024,SP_0445
SP_2022,SP_0446
SP_2022,SP_1163
SP_2022,SP_1164
SP_2022,SP_0445
SP_0248,SP_0446
SP_0248,SP_1163
SP_0248,SP_1164
SP_0248,SP_0445
SP_0305,SP_0446
SP_0305,SP_1163
SP_0305,SP_1164
SP_0305,SP_0445
SP_2023,SP_0446
SP_2023,SP_1163
SP_2023,SP_1164
SP_2023,SP_0445
SP_0317,SP_0446
SP_0317,SP_1163
SP_0317,SP_1164
SP_0317,SP_0445
SP_0665,SP_0446
SP_0665,SP_1163
SP_0665,SP_1164
SP_0665,SP_0445
SP_1185,SP_0446
SP_1185,SP_1163
SP_1185,SP_1164
SP_1185,SP_0445
SP_1186,SP_0446
SP_1186,SP_1163
SP_1186,SP_1164
SP_1186,SP_0445
SP_0476,SP_0446
SP_0476,SP_1163
SP_0476,SP_1164
SP_0476,SP_0445
SP_0478,SP_0446
SP_0478,SP_1163
SP_0478,SP_1164
SP_0478,SP_0445
SP_1173,SP_0446
SP_1173,SP_1163
SP_1173,SP_1164
SP_1173,SP_0445
SP_0877,SP_0446
SP_0877,SP_1163
SP_0877,SP_1164
SP_0877,SP_0445
SP_1618,SP_0446
SP_1618,SP_1163
SP_1618,SP_1164
SP_1618,SP_0445
SP_1617,SP_0446
SP_1617,SP_1163
SP_1617,SP_1164
SP_1617,SP_0445
SP_1619,SP_0446
SP_1619,SP_1163
SP_1619,SP_1164
SP_1619,SP_0445
SP_1684,SP_0446
SP_1684,SP_1163
SP_1684,SP_1164
SP_1684,SP_0445
SP_0250,SP_1014
SP_0308,SP_1014
SP_0474,SP_1014
